Australian SE All Ordinaries Index (XAO),^AORD
S&P ASX 100 Index (XTO),^ATOI
S&P ASX 20 Index (XTL),
S&P ASX 200 2X Inverse Daily Index (XNV),^AXNV
S&P ASX 200 2X Leverage Daily Index (XLD),^AXLD
S&P ASX 200 A REIT Index (XPJ),^AXPJ
S&P ASX 200 Banks (XBK),^AXBK
S&P ASX 200 Banks Net Total Return (XBN),^AXBN
S&P ASX 200 Banks Total Return (XBT),
S&P ASX 200 Communication Services Sector (XTJ),^AXTJ
S&P ASX 200 Consumer Discretionary Index (XDJ),^AXDJ
S&P ASX 200 Consumer Staples Index (XSJ),^AXSJ
S&P ASX 200 DEC NTR Dow Jones (XNI),^AXNI
S&P ASX 200 DEC TR Dow Jones (XRI),^AXRI
S&P ASX 200 Emerging Companies TR (XET),^AXET
S&P ASX 200 Energy Index (XEJ),^AXEJ
S&P ASX 200 Equal Weight Index (XEW),^AXEW
S&P ASX 200 Ex S&P ASX 100 Index (XJM),^AXJM
S&P ASX 200 Ex S&P ASX 100 TR Index (XJS),^AXJS
S&P ASX 200 Financial Index (XFJ),^AXFJ
S&P ASX 200 Financials ex A REITS Index (XXJ),^AXXJ
S&P ASX 200 Futures 4.5% Decrement Index Aonia AUD TR (XFR),^AXFR
S&P ASX 200 Futures Aonia in AUD ER (XFE),^AXFE
S&P ASX 200 Futures Aonia in AUD TR (XFN),^AXFN
S&P ASX 200 Gross Total Return (XJT),^AXJT
S&P ASX 200 Health Care Index (XHJ),^AXHJ
S&P ASX 200 Index (XJO),^AXJO
S&P ASX 200 Industrials Index (XNJ),^AXNJ
S&P ASX 200 Information Technology Index (XIJ),^AXIJ
S&P ASX 200 Materials Index (XMJ),^AXMJ
S&P ASX 200 Net Total Return (XNT),^AXNT
S&P ASX 200 Real Estate Sector (XRE),^AXRE
S&P ASX 200 Real Inverse Daily Index (XIN),^AXIN
S&P ASX 200 Resource (XJR),^AXJR
S&P ASX 200 Utilities Index (XUJ),^AXUJ
S&P ASX 200 VIX Index (XVI),^AXVI
S&P ASX 300 Index (XKO),^AXKO
S&P ASX 300 Metals and Mining Index (XMM),^AXMM
S&P ASX 300 Shareholder Yield Index (XSY),^AXSY
S&P ASX 50 Index (XFL),
S&P ASX Agribusiness Index (XAG),^AXAG
S&P ASX All Australian 200 Index (XAT),^AXAT
S&P ASX All Australian 50 Index (XAF),^AXAF
S&P ASX All Ordinaries Gold Index (XGD),^AXGD
S&P ASX All Technology Index (XTX),^AXTX
S&P ASX Buy Write Index (XBW),
S&P ASX Dividend Opportunities Index (XDI),^AXDI
S&P ASX Emerging Companies Index (XEC),^AXEC
S&P ASX Franked Dividend Index (XFD),
S&P ASX Franked Dividend Index Total Return (XFT),
S&P ASX MidCap 50 Index (XMD),^AXMD
S&P ASX Small Ordinaries Index (XSO),^AXSO
S&PASX 200 A REIT Equal Weight Index (XAE),^AXAE
Vaneck Franked Div Ein Index (YFDI),